card1,card2,archetype,weight
Floodpits Drowner,Go for the Throat,Dimir Midrange,0.8893856453339006
Floodpits Drowner,Go for the Throat,Faeries,0.7357489573097102
Floodpits Drowner,Go for the Throat,Self-Bounce,0.6981685176317174
Go for the Throat,Swamp,Legends,1
Go for the Throat,Swamp,Draws,1
Go for the Throat,Swamp,Golgari Midrange,0.99500870100295
Go for the Throat,Swamp,Dimir Control,0.9949758441177352
Go for the Throat,Swamp,Demons,0.9724999713542369
Go for the Throat,Swamp,Sultai Control,0.9519379029827645
Go for the Throat,Swamp,Dimir Tempo,0.8947808320300904
Go for the Throat,Swamp,Dimir Midrange,0.885977547269737
Go for the Throat,Swamp,Sacrifice,0.8711286190048061
Go for the Throat,Swamp,Sultai Midrange,0.8176000093904802
Go for the Throat,Swamp,Mono-Black Midrange,0.7725430064682476
Go for the Throat,Swamp,Token Control,0.742257413806554
Go for the Throat,Swamp,Golgari Control,0.7399617126286139
Go for the Throat,Swamp,Faeries,0.7357489573097102
Go for the Throat,Swamp,Domain,0.671963725649382
Go for the Throat,Swamp,Zur,0.671963725649382
Go for the Throat,Swamp,Jund Midrange,0.6571696353196558
Go for the Throat,Swamp,Floodcaller Combo,0.5543658066825486
Go for the Throat,Swamp,Abzan Control,0.5407968160325296
Go for the Throat,Swamp,Abzan Midrange,0.4831815358291909
Go for the Throat,Swamp,Self-Bounce,0.4804011449458624
"Kaito, Bane of Nightmares",Soulstone Sanctuary,Dimir Midrange,0.7890942305619234
"Kaito, Bane of Nightmares",Soulstone Sanctuary,Faeries,0.7075490922956882
"Kaito, Bane of Nightmares",Soulstone Sanctuary,Self-Bounce,0.6391912713906543
"Kaito, Bane of Nightmares",Underground River,Dimir Midrange,0.9341194832644224
"Kaito, Bane of Nightmares",Underground River,Self-Bounce,0.7790192430484174
"Kaito, Bane of Nightmares",Underground River,Faeries,0.7075490922956882
"Kaito, Bane of Nightmares",Spyglass Siren,Dimir Midrange,0.93479463832057
"Kaito, Bane of Nightmares",Spyglass Siren,Self-Bounce,0.8822285141291302
"Kaito, Bane of Nightmares",Spyglass Siren,Faeries,0.7075490922956882
Faerie Mastermind,"Kaito, Bane of Nightmares",Dimir Midrange,0.8825229838733049
Faerie Mastermind,"Kaito, Bane of Nightmares",Faeries,0.7075490922956882
Cut Down,"Kaito, Bane of Nightmares",Dimir Midrange,0.8775050622637877
Cut Down,"Kaito, Bane of Nightmares",Self-Bounce,0.6228598472424547
Cut Down,"Kaito, Bane of Nightmares",Faeries,0.4845850658801485
Island,"Kaito, Bane of Nightmares",Dimir Midrange,0.9295775404733949
Island,"Kaito, Bane of Nightmares",Self-Bounce,0.7356889676008401
Island,"Kaito, Bane of Nightmares",Faeries,0.7075490922956882
Darkslick Shores,"Kaito, Bane of Nightmares",Dimir Midrange,0.9349058604089453
Darkslick Shores,"Kaito, Bane of Nightmares",Self-Bounce,0.8612318921700475
Darkslick Shores,"Kaito, Bane of Nightmares",Faeries,0.7075490922956882
"Kaito, Bane of Nightmares",Restless Reef,Dimir Midrange,0.7473684192781616
"Kaito, Bane of Nightmares",Restless Reef,Faeries,0.6711408980914791
"Kaito, Bane of Nightmares",Restless Reef,Self-Bounce,0.6062979764930636
"Kaito, Bane of Nightmares",Sheoldred's Edict,Dimir Midrange,0.6376957840180303
"Kaito, Bane of Nightmares",Sheoldred's Edict,Self-Bounce,0.5543658066825486
"Kaito, Bane of Nightmares",Sheoldred's Edict,Faeries,0.29203198744884235
Gloomlake Verge,"Kaito, Bane of Nightmares",Dimir Midrange,0.9349058604089453
Gloomlake Verge,"Kaito, Bane of Nightmares",Self-Bounce,0.8735327485300279
Gloomlake Verge,"Kaito, Bane of Nightmares",Faeries,0.7075490922956882
Enduring Curiosity,"Kaito, Bane of Nightmares",Dimir Midrange,0.886505632999574
Enduring Curiosity,"Kaito, Bane of Nightmares",Self-Bounce,0.7519658100839591
Enduring Curiosity,"Kaito, Bane of Nightmares",Faeries,0.7075490922956882
"Kaito, Bane of Nightmares",Mockingbird,Self-Bounce,0.6526577555871367
"Kaito, Bane of Nightmares",Mockingbird,Dimir Midrange,0.6108232424283789
"Kaito, Bane of Nightmares",Mockingbird,Faeries,0.46360267269659206
Floodpits Drowner,"Kaito, Bane of Nightmares",Dimir Midrange,0.9275855515471626
Floodpits Drowner,"Kaito, Bane of Nightmares",Self-Bounce,0.8717830604612935
