card1,card2,archetype,weight
Force of Will,Underground Sea,Ninjas,0.6958834981519428
Force of Will,Underground Sea,Grixis Control,0.6673563441779315
Force of Will,Underground Sea,Aluren,0.6460160066870647
Force of Will,Underground Sea,Cephalid Breakfast,0.6460160066870647
Animate Dead,Force of Will,Worldgorger Dragon Combo,1
Animate Dead,Force of Will,Reanimator,0.9295758030771084
Animate Dead,Force of Will,Beanstalk Control (Non-Yorion),0.7771829163039172
"Atraxa, Grand Unifier",Force of Will,Sneak and Show,0.9880139967353089
"Atraxa, Grand Unifier",Force of Will,Omni-Tell,0.8274467516565386
"Atraxa, Grand Unifier",Force of Will,Reanimator,0.6493134494510434
"Atraxa, Grand Unifier",Force of Will,Worldgorger Dragon Combo,0.6460160066870647
"Atraxa, Grand Unifier",Force of Will,Beanstalk Control (Non-Yorion),0.6460160066870647
Force of Will,Scalding Tarn,Sneak and Show,0.9778465411288118
Force of Will,Scalding Tarn,Ocelot Pride Tempo,0.9747426508955418
Force of Will,Scalding Tarn,Food Chain,0.9311597041225679
Force of Will,Scalding Tarn,Jeskai Control,0.8522042882660505
Force of Will,Scalding Tarn,Grixis Tempo,0.8406051469492389
Force of Will,Scalding Tarn,Grixis Control,0.8371906560604608
Force of Will,Scalding Tarn,Delver,0.8210523887034514
Force of Will,Scalding Tarn,Beanstalk Control (Yorion),0.8158350559455676
Force of Will,Scalding Tarn,Coveted Jewel Combo,0.7771829163039172
Force of Will,Scalding Tarn,Standstill,0.7771829163039172
Force of Will,Scalding Tarn,Mono-Blue Tempo,0.7771829163039172
Force of Will,Scalding Tarn,Beanstalk Control (Non-Yorion),0.7771829163039172
Force of Will,Scalding Tarn,Death's Shadow,0.7771829163039172
Force of Will,Scalding Tarn,Doomsday,0.7358221432726513
Force of Will,Scalding Tarn,High Tide,0.7266162653896022
Force of Will,Scalding Tarn,Omni-Tell,0.7140489934774975
Force of Will,Scalding Tarn,Jeskai Tempo,0.7076384222352329
Force of Will,Scalding Tarn,Stoneblade,0.6958834981519428
Force of Will,Scalding Tarn,Reanimator,0.6759555505694224
Force of Will,Scalding Tarn,Dimir Tempo,0.6633155646415727
Force of Will,Scalding Tarn,Worldgorger Dragon Combo,0.6460160066870647
Force of Will,Scalding Tarn,Azorius Control,0.6460160066870647
Force of Will,Scalding Tarn,Stiflenought,0.6459805007518075
Force of Will,Scalding Tarn,4C Control,0.6403105064892143
Force of Will,Misty Rainforest,Bant Control,1
Force of Will,Misty Rainforest,Beanstalk Control (Yorion),1
Force of Will,Misty Rainforest,Aluren,1
Force of Will,Misty Rainforest,Cascade,1
Force of Will,Misty Rainforest,4C Control,1
Force of Will,Misty Rainforest,Infect,1
Force of Will,Misty Rainforest,Nadu Midrange Combo,0.9832089224592861
Force of Will,Misty Rainforest,Nadu Combo,0.9747426508955418
Force of Will,Misty Rainforest,Food Chain,0.9661911827357866
Force of Will,Misty Rainforest,Omni-Tell,0.9286944838077025
Force of Will,Misty Rainforest,Cephalid Breakfast,0.9158461114835704
Force of Will,Misty Rainforest,Beanstalk Control (Non-Yorion),0.9058061642711089
Force of Will,Misty Rainforest,Delver,0.8183700332623919
Force of Will,Misty Rainforest,Grixis Tempo,0.808617708399061
Force of Will,Misty Rainforest,Mono-Blue Tempo,0.7771829163039172
Force of Will,Misty Rainforest,Jeskai Tempo,0.7771829163039172
