card1,card2,archetype,weight
Mox Opal,Vexing Bauble,Mystic Forge Combo,0.8072675274936902
Mox Opal,Vexing Bauble,Painter,0.8040181843608065
Mystic Forge,Vexing Bauble,Mystic Forge Combo,1
Urza's Tower,Vexing Bauble,Mystic Forge Combo,1
Lotus Petal,Vexing Bauble,Mystic Forge Combo,1
Lotus Petal,Vexing Bauble,Doomsday,1
Lotus Petal,Vexing Bauble,Mono Black Reanimator,0.9711749008703954
Lotus Petal,Vexing Bauble,Sneak and Show,0.8495773321821065
Lotus Petal,Vexing Bauble,Painter,0.8056284812097525
Lotus Petal,Vexing Bauble,Omni-Tell,0.67578466173597
Manifold Key,Vexing Bauble,Mystic Forge Combo,1
Ancient Tomb,Voltaic Key,Mystic Forge Combo,1
Ancient Tomb,Voltaic Key,Painter,0.9711749008703954
Ancient Tomb,Voltaic Key,Blue Artifacts,0.8072675274936902
Ancient Tomb,Urza's Saga,Mystic Forge Combo,1
Ancient Tomb,Urza's Saga,Painter,1
Ancient Tomb,Urza's Saga,Simulacrum Affinity,1
Ancient Tomb,Urza's Saga,8-Cast,1
Ancient Tomb,Urza's Saga,Coveted Jewel Combo,1
Ancient Tomb,Urza's Saga,Riddlesmith Combo,1
Ancient Tomb,Urza's Saga,Blue Artifacts,1
Ancient Tomb,Urza's Saga,Depths,1
Ancient Tomb,Urza's Saga,The EPIC Gamble,1
Ancient Tomb,Urza's Saga,Cloudpost,1
Ancient Tomb,Urza's Saga,Red Stompy,1
Ancient Tomb,Urza's Saga,Initiative,1
Ancient Tomb,Urza's Saga,Lands,0.9158346758092001
Ancient Tomb,Mox Opal,Simulacrum Affinity,1
Ancient Tomb,Mox Opal,The EPIC Gamble,1
Ancient Tomb,Mox Opal,8-Cast,1
Ancient Tomb,Mox Opal,Riddlesmith Combo,1
Ancient Tomb,Mox Opal,Blue Artifacts,1
Ancient Tomb,Mox Opal,Painter,0.8282481139634771
Ancient Tomb,Mox Opal,Mystic Forge Combo,0.8119498630139683
Ancient Tomb,Mox Opal,Coveted Jewel Combo,0.8072675274936902
Ancient Tomb,Mystic Forge,Mystic Forge Combo,1
Ancient Tomb,Urza's Tower,Mystic Forge Combo,1
Ancient Tomb,Urza's Tower,Painter,1
Ancient Tomb,Lotus Petal,Mystic Forge Combo,1
Ancient Tomb,Lotus Petal,Sneak and Show,1
Ancient Tomb,Lotus Petal,Initiative,1
Ancient Tomb,Lotus Petal,Eldrazi,1
Ancient Tomb,Lotus Petal,Omni-Tell,1
Ancient Tomb,Lotus Petal,Red Stompy,1
Ancient Tomb,Lotus Petal,Simulacrum Affinity,1
Ancient Tomb,Lotus Petal,The EPIC Gamble,1
Ancient Tomb,Lotus Petal,8-Cast,1
Ancient Tomb,Lotus Petal,Coveted Jewel Combo,1
Ancient Tomb,Lotus Petal,Riddlesmith Combo,1
Ancient Tomb,Lotus Petal,Blue Artifacts,1
Ancient Tomb,Lotus Petal,Depths,1
Ancient Tomb,Lotus Petal,Ruby Storm,1
Ancient Tomb,Lotus Petal,Painter,0.9838598904966701
Ancient Tomb,Manifold Key,Mystic Forge Combo,1
Ancient Tomb,Manifold Key,Painter,1
Ancient Tomb,Manifold Key,Coveted Jewel Combo,0.8072675274936902
Ancient Tomb,Manifold Key,Blue Artifacts,0.8072675274936902
Urza's Saga,Voltaic Key,Mystic Forge Combo,0.9835172026479226
Urza's Saga,Voltaic Key,Painter,0.9711749008703954
Urza's Saga,Voltaic Key,Blue Artifacts,0.8072675274936902
Mox Opal,Voltaic Key,Blue Artifacts,0.67578466173597
Mox Opal,Voltaic Key,Mystic Forge Combo,0.6254284310075892
Mox Opal,Voltaic Key,Painter,0.528833223536164
Mystic Forge,Voltaic Key,Mystic Forge Combo,0.8836252555922383
Urza's Tower,Voltaic Key,Mystic Forge Combo,1
Urza's Tower,Voltaic Key,Painter,0.9711749008703954
Lotus Petal,Voltaic Key,Mystic Forge Combo,1
Lotus Petal,Voltaic Key,Painter,0.9711749008703954
Lotus Petal,Voltaic Key,Blue Artifacts,0.8072675274936902
Manifold Key,Voltaic Key,Mystic Forge Combo,1
Manifold Key,Voltaic Key,Painter,0.9711749008703954
Manifold Key,Voltaic Key,Blue Artifacts,0.36492585015945816
Mox Opal,Urza's Saga,Beseech Storm,1
Mox Opal,Urza's Saga,Simulacrum Affinity,1
Mox Opal,Urza's Saga,8-Cast,1
Mox Opal,Urza's Saga,Riddlesmith Combo,1
Mox Opal,Urza's Saga,Blue Artifacts,1
Mox Opal,Urza's Saga,The EPIC Gamble,1
Mox Opal,Urza's Saga,The EPIC Storm,1
Mox Opal,Urza's Saga,Hammer Time,1
Mox Opal,Urza's Saga,Painter,0.8310015103211792
Mox Opal,Urza's Saga,Coveted Jewel Combo,0.7433380550962837
Mox Opal,Urza's Saga,Mystic Forge Combo,0.7285462175705972
Mystic Forge,Urza's Saga,Mystic Forge Combo,0.9875941161837793
Urza's Saga,Urza's Tower,Mystic Forge Combo,1
Urza's Saga,Urza's Tower,Painter,1
Urza's Saga,Urza's Tower,Coveted Jewel Combo,1
Lotus Petal,Urza's Saga,Mystic Forge Combo,1
Lotus Petal,Urza's Saga,Beseech Storm,1
Lotus Petal,Urza's Saga,Simulacrum Affinity,1
Lotus Petal,Urza's Saga,8-Cast,1
Lotus Petal,Urza's Saga,Coveted Jewel Combo,1
Lotus Petal,Urza's Saga,Riddlesmith Combo,1
